ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,direction,clade
GO:0009065,glutamine family amino acid catabolic process,3/32,11/5298,0.2727272727272727,45.153409090909086,11.426296169120812,3.196924698652292e-5,0.009750620330889491,0.009018692834092783,YLR438W/YPL111W/YHR037W,3,Downregulated,1. Wine/European
GO:0044248,cellular catabolic process,5/32,100/5298,0.05,8.278125000000001,5.727313036158959,2.911564110052583e-4,0.04440135267830189,0.04106837797337328,YDR452W/YLR438W/YPL111W/YPL095C/YHR037W,5,Downregulated,1. Wine/European
GO:0009145,purine nucleoside triphosphate biosynthetic process,12/100,20/5298,0.6,31.787999999999997,19.131923324167104,1.1593569885627184e-16,3.188231718547476e-14,2.77025301477618e-14,YDL004W/YDR322C-A/YDR377W/YLR295C/YPL271W/YPL078C/YPR020W/YML081C-A/YBL099W/YJR121W/YKL067W/YKL016C,12,Upregulated,18. Far East Asia
GO:0009206,purine ribonucleoside triphosphate biosynthetic process,12/100,20/5298,0.6,31.787999999999997,19.131923324167104,1.1593569885627184e-16,3.188231718547476e-14,2.77025301477618e-14,YDL004W/YDR322C-A/YDR377W/YLR295C/YPL271W/YPL078C/YPR020W/YML081C-A/YBL099W/YJR121W/YKL067W/YKL016C,12,Upregulated,18. Far East Asia
GO:0006754,ATP biosynthetic process,11/100,16/5298,0.6875,36.42375,19.681227251023643,2.500918683342288e-16,3.4387631895956456e-14,2.9879396900984176e-14,YDL004W/YDR322C-A/YDR377W/YLR295C/YPL271W/YPL078C/YPR020W/YML081C-A/YBL099W/YJR121W/YKL016C,11,Upregulated,18. Far East Asia
GO:0015986,proton motive force-driven ATP synthesis,11/100,16/5298,0.6875,36.42375,19.681227251023643,2.500918683342288e-16,3.4387631895956456e-14,2.9879396900984176e-14,YDL004W/YDR322C-A/YDR377W/YLR295C/YPL271W/YPL078C/YPR020W/YML081C-A/YBL099W/YJR121W/YKL016C,11,Upregulated,18. Far East Asia
GO:0009201,ribonucleoside triphosphate biosynthetic process,12/100,24/5298,0.5,26.49,17.35810225712834,2.339149831092285e-15,2.5730648142015134e-13,2.235734785928205e-13,YDL004W/YDR322C-A/YDR377W/YLR295C/YPL271W/YPL078C/YPR020W/YML081C-A/YBL099W/YJR121W/YKL067W/YKL016C,12,Upregulated,18. Far East Asia
GO:0009142,nucleoside triphosphate biosynthetic process,12/100,28/5298,0.42857142857142855,22.705714285714283,15.971460767298659,2.4733074445915095e-14,2.2671984908755506e-12,1.9699676839377986e-12,YDL004W/YDR322C-A/YDR377W/YLR295C/YPL271W/YPL078C/YPR020W/YML081C-A/YBL099W/YJR121W/YKL067W/YKL016C,12,Upregulated,18. Far East Asia
GO:1902600,proton transmembrane transport,17/100,80/5298,0.2125,11.25825,12.822215859952268,4.6851611136751913e-14,3.6811980178876505e-12,3.1985911964038152e-12,YDL004W/YDR322C-A/YDR377W/YGL187C/YLR295C/YPL271W/YPL078C/YPR020W/YML120C/YML081C-A/YMR256C/YBL099W/YJL166W/YJR121W/YKL016C/YHR001W-A/YHR051W,17,Upregulated,18. Far East Asia
GO:0009205,purine ribonucleoside triphosphate metabolic process,13/100,51/5298,0.2549019607843137,13.504705882352939,12.44514285590542,4.595240195413975e-12,3.159227634347108e-10,2.7450513798920327e-10,YDL004W/YDR322C-A/YDR377W/YLR295C/YPL271W/YPL078C/YPR020W/YML081C-A/YBL099W/YJR009C/YJR121W/YKL067W/YKL016C,13,Upregulated,18. Far East Asia
GO:0009152,purine ribonucleotide biosynthetic process,12/100,41/5298,0.2926829268292683,15.506341463414634,12.93235699756651,5.2487699686630126e-12,3.2075816475162856e-10,2.7870661587988394e-10,YDL004W/YDR322C-A/YDR377W/YLR295C/YPL271W/YPL078C/YPR020W/YML081C-A/YBL099W/YJR121W/YKL067W/YKL016C,12,Upregulated,18. Far East Asia
GO:0009144,purine nucleoside triphosphate metabolic process,13/100,53/5298,0.24528301886792453,12.995094339622643,12.172105430239634,7.871084303598767e-12,4.329096366979322e-10,3.761549761930358e-10,YDL004W/YDR322C-A/YDR377W/YLR295C/YPL271W/YPL078C/YPR020W/YML081C-A/YBL099W/YJR009C/YJR121W/YKL067W/YKL016C,13,Upregulated,18. Far East Asia
GO:0009199,ribonucleoside triphosphate metabolic process,13/100,56/5298,0.23214285714285715,12.29892857142857,11.78907192274713,1.6878369230937876e-11,8.439184615468938e-10,7.332803474493585e-10,YDL004W/YDR322C-A/YDR377W/YLR295C/YPL271W/YPL078C/YPR020W/YML081C-A/YBL099W/YJR009C/YJR121W/YKL067W/YKL016C,13,Upregulated,18. Far East Asia
GO:0046034,ATP metabolic process,12/100,46/5298,0.2608695652173913,13.82086956521739,12.112419058177592,2.3925486318745994e-11,1.0965847896091915e-9,9.528219990097087e-10,YDL004W/YDR322C-A/YDR377W/YLR295C/YPL271W/YPL078C/YPR020W/YML081C-A/YBL099W/YJR009C/YJR121W/YKL016C,12,Upregulated,18. Far East Asia
GO:0098662,inorganic cation transmembrane transport,18/100,141/5298,0.1276595744680851,6.7634042553191485,9.620262498040749,7.254939448593509e-11,2.8759833658954448e-9,2.4989405705579564e-9,YDL004W/YDR322C-A/YDR377W/YGL187C/YLR295C/YPL271W/YPL078C/YPR020W/YML120C/YML081C-A/YMR256C/YBL099W/YJL166W/YJR121W/YKL016C/YHR001W-A/YHR051W/YFR040W,18,Upregulated,18. Far East Asia
GO:0098660,inorganic ion transmembrane transport,19/100,160/5298,0.11875,6.2913749999999995,9.426019445173745,7.320684931370223e-11,2.8759833658954448e-9,2.4989405705579564e-9,YDL004W/YDR322C-A/YDR377W/YGL187C/YLR295C/YPL271W/YPL078C/YPR020W/YML120C/YML081C-A/YMR256C/YBL099W/YJL166W/YJR077C/YJR121W/YKL016C/YHR001W-A/YHR051W/YFR040W,19,Upregulated,18. Far East Asia
GO:0009141,nucleoside triphosphate metabolic process,13/100,63/5298,0.20634920634920634,10.932380952380951,10.999226593873665,8.389572672165083e-11,3.07617664646053e-9,2.6728884162547e-9,YDL004W/YDR322C-A/YDR377W/YLR295C/YPL271W/YPL078C/YPR020W/YML081C-A/YBL099W/YJR009C/YJR121W/YKL067W/YKL016C,13,Upregulated,18. Far East Asia
GO:0098655,monoatomic cation transmembrane transport,18/100,143/5298,0.1258741258741259,6.66881118881119,9.531089000842847,9.222204393427149e-11,3.1701327602405826e-9,2.754526838563109e-9,YDL004W/YDR322C-A/YDR377W/YGL187C/YLR295C/YPL271W/YPL078C/YPR020W/YML120C/YML081C-A/YMR256C/YBL099W/YJL166W/YJR121W/YKL016C/YHR001W-A/YHR051W/YFR040W,18,Upregulated,18. Far East Asia
GO:0034220,monoatomic ion transmembrane transport,18/100,151/5298,0.11920529801324503,6.315496688741722,9.190774071206182,2.315987746633209e-10,7.167484251898901e-9,6.227823637056653e-9,YDL004W/YDR322C-A/YDR377W/YGL187C/YLR295C/YPL271W/YPL078C/YPR020W/YML120C/YML081C-A/YMR256C/YBL099W/YJL166W/YJR121W/YKL016C/YHR001W-A/YHR051W/YFR040W,18,Upregulated,18. Far East Asia
GO:0009260,ribonucleotide biosynthetic process,12/100,55/5298,0.21818181818181817,11.559272727272726,10.917476652962101,2.3457221188032765e-10,7.167484251898901e-9,6.227823637056653e-9,YDL004W/YDR322C-A/YDR377W/YLR295C/YPL271W/YPL078C/YPR020W/YML081C-A/YBL099W/YJR121W/YKL067W/YKL016C,12,Upregulated,18. Far East Asia
GO:0009060,aerobic respiration,14/100,84/5298,0.16666666666666666,8.83,10.032582519500874,3.0911608118269103e-10,8.948097086867371e-9,7.774997277392893e-9,YDL066W/YGL187C/YPL271W/YML120C/YMR002W/YMR256C/YBL030C/YNR001C/YJL166W/YJR121W/YKL148C/YKL085W/YHR001W-A/YHR051W,14,Upregulated,18. Far East Asia
GO:0009150,purine ribonucleotide metabolic process,13/100,72/5298,0.18055555555555555,9.565833333333334,10.149578675975865,4.943555065401401e-10,1.3594776429853852e-8,1.1812494735222294e-8,YDL004W/YDR322C-A/YDR377W/YLR295C/YPL271W/YPL078C/YPR020W/YML081C-A/YBL099W/YJR009C/YJR121W/YKL067W/YKL016C,13,Upregulated,18. Far East Asia
GO:0006812,monoatomic cation transport,19/100,179/5298,0.10614525139664804,5.623575418994413,8.727879583485633,5.247119358354282e-10,1.3742455462356452e-8,1.194081297590398e-8,YDL004W/YDR322C-A/YDR377W/YGL187C/YLR295C/YPL271W/YPL078C/YPR020W/YML120C/YML081C-A/YMR256C/YBL099W/YBL030C/YJL166W/YJR121W/YKL016C/YHR001W-A/YHR051W/YFR040W,19,Upregulated,18. Far East Asia
GO:0046390,ribose phosphate biosynthetic process,12/100,61/5298,0.19672131147540983,10.422295081967214,10.265430819073194,8.484856816694473e-10,2.1212142041736183e-8,1.8431220070714306e-8,YDL004W/YDR322C-A/YDR377W/YLR295C/YPL271W/YPL078C/YPR020W/YML081C-A/YBL099W/YJR121W/YKL067W/YKL016C,12,Upregulated,18. Far East Asia
GO:0006163,purine nucleotide metabolic process,16/100,129/5298,0.12403100775193798,6.571162790697674,8.884526494045975,1.4323214306975484e-9,3.425116464711529e-8,2.976082057376142e-8,YDL066W/YDL004W/YDR322C-A/YDR377W/YLR295C/YPL271W/YPL078C/YPR020W/YML120C/YML081C-A/YMR145C/YBL099W/YJR009C/YJR121W/YKL067W/YKL016C,16,Upregulated,18. Far East Asia
GO:0006164,purine nucleotide biosynthetic process,12/100,64/5298,0.1875,9.93375,9.972493727848047,1.526714101206069e-9,3.498719815263909e-8,3.040035973454191e-8,YDL004W/YDR322C-A/YDR377W/YLR295C/YPL271W/YPL078C/YPR020W/YML081C-A/YBL099W/YJR121W/YKL067W/YKL016C,12,Upregulated,18. Far East Asia
GO:0006811,monoatomic ion transport,19/100,195/5298,0.09743589743589744,5.1621538461538465,8.21333429169535,2.282387068968672e-9,5.021251551731078e-8,4.36296307078643e-8,YDL004W/YDR322C-A/YDR377W/YGL187C/YLR295C/YPL271W/YPL078C/YPR020W/YML120C/YML081C-A/YMR256C/YBL099W/YBL030C/YJL166W/YJR121W/YKL016C/YHR001W-A/YHR051W/YFR040W,19,Upregulated,18. Far East Asia
GO:0045333,cellular respiration,14/100,98/5298,0.14285714285714285,7.568571428571428,9.102886795547288,2.5604570377915884e-9,5.4163514260975905e-8,4.70626516258049e-8,YDL066W/YGL187C/YPL271W/YML120C/YMR002W/YMR256C/YBL030C/YNR001C/YJL166W/YJR121W/YKL148C/YKL085W/YHR001W-A/YHR051W,14,Upregulated,18. Far East Asia
GO:0006119,oxidative phosphorylation,9/100,31/5298,0.2903225806451613,15.381290322580647,11.137658315087547,3.022318403553391e-9,6.156574525756909e-8,5.3494446597007395e-8,YGL187C/YPL271W/YML120C/YMR256C/YJL166W/YJR121W/YKL148C/YHR001W-A/YHR051W,9,Upregulated,18. Far East Asia
GO:0072521,purine-containing compound metabolic process,18/100,179/5298,0.1005586592178771,5.327597765363128,8.169165366413704,3.844498804406812e-9,7.551694080084809e-8,6.561663372934934e-8,YDL066W/YDL004W/YDR322C-A/YDR377W/YLR295C/YPL271W/YPL078C/YPR020W/YML120C/YML081C-A/YMR145C/YBL099W/YNL141W/YNR001C/YJR009C/YJR121W/YKL067W/YKL016C,18,Upregulated,18. Far East Asia
GO:0072522,purine-containing compound biosynthetic process,13/100,86/5298,0.1511627906976744,8.00860465116279,9.088148892059637,4.884594530040477e-9,9.263886177662974e-8,8.049386267289934e-8,YDL004W/YDR322C-A/YDR377W/YLR295C/YPL271W/YPL078C/YPR020W/YML081C-A/YBL099W/YNL141W/YJR121W/YKL067W/YKL016C,13,Upregulated,18. Far East Asia
GO:0009259,ribonucleotide metabolic process,13/100,87/5298,0.14942528735632185,7.916551724137931,9.021641551563757,5.654337106353731e-9,1.036628469498184e-7,9.00725981152489e-8,YDL004W/YDR322C-A/YDR377W/YLR295C/YPL271W/YPL078C/YPR020W/YML081C-A/YBL099W/YJR009C/YJR121W/YKL067W/YKL016C,13,Upregulated,18. Far East Asia
GO:0140053,mitochondrial gene expression,17/100,164/5298,0.10365853658536585,5.491829268292682,8.104273357559176,6.913813855696025e-9,1.2266443937525206e-7,1.065830726820372e-7,YDL044C/YDL033C/YDR115W/YDR116C/YOR017W/YGR150C/YGR165W/YLR312W-A/YPL215W/YPR100W/YML091C/YMR098C/YMR158W/YBR185C/YKL194C/YKR006C/YFL036W,17,Upregulated,18. Far East Asia
GO:0019693,ribose phosphate metabolic process,13/100,94/5298,0.13829787234042554,7.327021276595745,8.584033950992353,1.4932017665678346e-8,2.5664405362884656e-7,2.2299789540190688e-7,YDL004W/YDR322C-A/YDR377W/YLR295C/YPL271W/YPL078C/YPR020W/YML081C-A/YBL099W/YJR009C/YJR121W/YKL067W/YKL016C,13,Upregulated,18. Far East Asia
GO:0009117,nucleotide metabolic process,17/100,174/5298,0.09770114942528736,5.176206896551724,7.768710158333046,1.7086329181018657e-8,2.8477215301697767e-7,2.4743838750183316e-7,YDL066W/YDL004W/YDR322C-A/YDR377W/YLR295C/YPL271W/YPL078C/YPR020W/YML120C/YML081C-A/YMR145C/YBL099W/YNL141W/YJR009C/YJR121W/YKL067W/YKL016C,17,Upregulated,18. Far East Asia
GO:0055085,transmembrane transport,26/100,422/5298,0.061611374407582936,3.2641706161137436,6.72404135482771,3.4917816500602225e-8,5.64847031627389e-7,4.907953155193006e-7,YDL004W/YDR322C-A/YDR377W/YGL187C/YLR188W/YLR295C/YPL271W/YPL078C/YPR011C/YPR020W/YML120C/YML081C-A/YMR256C/YBL099W/YBL030C/YNL121C/YJL166W/YJR077C/YJR121W/YKL188C/YKL016C/YEL063C/YHR001W-A/YHR051W/YCL025C/YFR040W,26,Upregulated,18. Far East Asia
GO:0015980,energy derivation by oxidation of organic compounds,15/100,151/5298,0.09933774834437085,5.262913907284768,7.370802937351015,1.0436062290376447e-7,1.6399526456305845e-6,1.4249540691220772e-6,YDL066W/YGL187C/YPL271W/YML120C/YMR002W/YMR145C/YMR256C/YBL030C/YNR001C/YJL166W/YJR121W/YKL148C/YKL085W/YHR001W-A/YHR051W,15,Upregulated,18. Far East Asia
GO:0009165,nucleotide biosynthetic process,12/100,96/5298,0.125,6.6225,7.710397277015767,1.7646465746763274e-7,2.6747794471633154e-6,2.324114581841426e-6,YDL004W/YDR322C-A/YDR377W/YLR295C/YPL271W/YPL078C/YPR020W/YML081C-A/YBL099W/YJR121W/YKL067W/YKL016C,12,Upregulated,18. Far East Asia
GO:0007005,mitochondrion organization,17/100,204/5298,0.08333333333333333,4.415,6.898793893913754,1.8237250204359296e-7,2.6747794471633154e-6,2.324114581841426e-6,YDR322C-A/YOL095C/YGR150C/YLR295C/YPL215W/YPR020W/YPR100W/YML091C/YML081C-A/YMR002W/YMR098C/YBR185C/YNL121C/YNL100W/YNR040W/YJR144W/YFL036W,17,Upregulated,18. Far East Asia
GO:0006753,nucleoside phosphate metabolic process,18/100,229/5298,0.07860262008733625,4.164366812227074,6.789538658188839,1.848029436221927e-7,2.6747794471633154e-6,2.324114581841426e-6,YDL066W/YDL004W/YDR322C-A/YDR377W/YLR295C/YPL271W/YPL078C/YPR020W/YML120C/YML081C-A/YMR145C/YBL099W/YNL141W/YNR001C/YJR009C/YJR121W/YKL067W/YKL016C,18,Upregulated,18. Far East Asia
GO:0019646,aerobic electron transport chain,7/100,26/5298,0.2692307692307692,14.263846153846153,9.40297535797312,3.388379458353676e-7,4.778483851524415e-6,4.152022332233654e-6,YGL187C/YML120C/YMR256C/YJL166W/YKL148C/YHR001W-A/YHR051W,7,Upregulated,18. Far East Asia
GO:1901293,nucleoside phosphate biosynthetic process,13/100,124/5298,0.10483870967741936,5.554354838709678,7.117399502046494,4.2675952844255134e-7,5.867943516085081e-6,5.09865331349785e-6,YDL004W/YDR322C-A/YDR377W/YLR295C/YPL271W/YPL078C/YPR020W/YML081C-A/YBL099W/YNL141W/YJR121W/YKL067W/YKL016C,13,Upregulated,18. Far East Asia
GO:0042773,ATP synthesis coupled electron transport,7/100,27/5298,0.25925925925925924,13.735555555555555,9.201319636581742,4.504077388511921e-7,5.898196580194182e-6,5.124940186427098e-6,YGL187C/YML120C/YMR256C/YJL166W/YKL148C/YHR001W-A/YHR051W,7,Upregulated,18. Far East Asia
GO:0042775,mitochondrial ATP synthesis coupled electron transport,7/100,27/5298,0.25925925925925924,13.735555555555555,9.201319636581742,4.504077388511921e-7,5.898196580194182e-6,5.124940186427098e-6,YGL187C/YML120C/YMR256C/YJL166W/YKL148C/YHR001W-A/YHR051W,7,Upregulated,18. Far East Asia
GO:0006091,generation of precursor metabolites and energy,16/100,195/5298,0.08205128205128205,4.347076923076923,6.6049124288505965,5.418891237989452e-7,6.790083097382436e-6,5.899899954472011e-6,YDL066W/YGL187C/YPL271W/YML120C/YMR002W/YMR145C/YMR256C/YBL030C/YNR001C/YJL166W/YJR009C/YJR121W/YKL148C/YKL085W/YHR001W-A/YHR051W,16,Upregulated,18. Far East Asia
